,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
74,tipsy/javalin,3, javalin- javalin-parent-,42,22,4,42,84,0 days 00:00:00.107532
75,MikeMcl/bignumber.js,2, v,20,0,3,27,47,0 days 00:00:00.024759
76,datahub-project/datahub,2,RC-v v,6,1,3,42,48,0 days 00:00:00.339837
77,vuejs/vetur,2, v,23,12,7,47,70,0 days 00:00:00.204764
78,doctrine/collections,2, v,7,0,5,9,16,0 days 00:00:00.034876
79,tilt-dev/tilt,1,v,30,16,5,172,202,0 days 00:00:00.299386
80,kyleconroy/sqlc,2, v,15,6,3,1,16,0 days 00:00:00.048135
81,Respect/Validation,1,,11,1,8,108,119,0 days 00:00:00.269664
82,dthree/vorpal,1,v,4,0,0,57,61,0 days 00:00:00.029832
83,zaphoyd/websocketpp,1,,6,0,4,3,9,0 days 00:00:00.081746
84,lebab/lebab,1,v,14,8,2,28,42,0 days 00:00:00.056233
85,Alluxio/alluxio,2,alluxio-parent- v,26,1,23,28,54,0 days 00:00:01.957603
86,modulz/stitches,1,v,5,1,0,22,27,0 days 00:00:00.064784
87,Lexikos/AutoHotkey_L,2,L v,56,6,0,146,202,0 days 00:00:00.203638
88,haifengl/smile,1,v,12,3,6,10,22,0 days 00:00:00.111594
89,nodeca/js-yaml,1,,23,2,11,51,74,0 days 00:00:00.168440
90,graphql-java/graphql-java,2, v,40,6,12,2,42,0 days 00:00:00.251410
91,aimeos/aimeos-laravel,1,,3,0,1,112,115,0 days 00:00:00.109809
92,filamentgroup/tablesaw,1,v,5,0,3,27,32,0 days 00:00:00.043192
93,documentationjs/documentation,1,v,36,3,4,49,85,0 days 00:00:00.083674
94,mit-pdos/xv6-public,0,,0,0,0,0,0,0 days 00:00:00.011257
95,carbon-design-system/carbon,8, carbon-components-react@ @carbon/elements@ carbon-components@ v @carbon/icons-angular@ @carbon/themes@ @carbon/sketch@,204,61,0,513,717,0 days 00:00:01.162540
96,doctrine/common,2, v,18,0,14,31,49,0 days 00:00:00.393214
97,tensorflow/serving,2, r,25,5,10,27,52,0 days 00:00:00.411138
98,artilleryio/artillery,2, v,5,0,3,43,48,0 days 00:00:00.104442
99,MinecraftForge/MinecraftForge,2, v,59,22,13,10,69,0 days 00:00:00.560064
100,google/ios-webkit-debug-proxy,2, v,9,1,5,9,18,0 days 00:00:00.018698
101,sockeqwe/mosby,1,,7,3,2,8,15,0 days 00:00:00.036395
102,antonioru/beautiful-react-hooks,1,,5,0,1,6,11,0 days 00:00:00.032678
103,flarum/framework,1,v,4,0,3,6,10,0 days 00:00:00.866186
104,gzu-liyujiang/AndroidPicker,1,,11,0,3,45,56,0 days 00:00:00.038846
