project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
jazzband/pip-tools,1,,45,22,12,49,94,0 days 00:00:00.209852,0
sindresorhus/query-string,2, v,34,12,12,38,72,0 days 00:00:00.034994,0
OJ/gobuster,1,v,11,1,7,4,15,0 days 00:00:00.029923,0
platformio/platformio-core,3, v. v,43,22,13,72,115,0 days 00:00:00.499807,0
bytedeco/javacv,1,,17,1,14,14,31,0 days 00:00:00.040185,0
spulec/moto,2, v,14,2,8,152,166,0 days 00:00:00.533316,0
perkeep/perkeep,1,,11,5,5,0,11,0 days 00:00:00.381077,0
ractivejs/ractive,1,v,10,1,6,88,98,0 days 00:00:00.169247,0
trpc/trpc,2, v,57,54,1,48,105,0 days 00:00:00.143634,0
heroiclabs/nakama,1,v,38,17,5,29,67,0 days 00:00:00.189378,0
rest-assured/rest-assured,1,rest-assured-,32,6,15,40,72,0 days 00:00:00.126437,0
ckeditor/ckeditor5,2, v,48,30,3,6,54,0 days 00:00:02.927458,0
gruntwork-io/terragrunt,1,v,37,18,12,337,374,0 days 00:00:00.405831,0
ianstormtaylor/superstruct,1,v,14,7,4,55,69,0 days 00:00:00.067939,0
File-New-Project/EarTrumpet,1,,9,2,6,29,38,0 days 00:00:00.072896,0
webslides/WebSlides,1,,7,4,1,7,14,0 days 00:00:00.029434,0
sparklemotion/nokogiri,2,v REL_,15,2,10,89,104,0 days 00:00:00.440857,0
ethereum-mining/ethminer,1,v,10,1,5,3,13,0 days 00:00:00.759522,0
moroshko/react-autosuggest,1,v,41,30,6,54,95,0 days 00:00:00.065359,0
Unleash/unleash,2, v,34,19,7,132,166,0 days 00:00:00.323045,0
kulshekhar/ts-jest,2, v,30,14,8,88,118,0 days 00:00:00.252858,0
geerlingguy/ansible-for-devops,1,,32,16,9,1,33,0 days 00:00:00.036432,0
Shougo/deoplete.nvim,1,,14,1,11,0,14,0 days 00:00:00.111026,0
twitchtv/twirp,1,v,18,8,8,10,28,0 days 00:00:00.045227,0
yuliskov/SmartTubeNext,1,,73,54,1,0,73,0 days 00:00:00.246055,0
postmanlabs/newman,3, v. v,26,8,8,80,106,0 days 00:00:00.381059,0
neuecc/UniRx,1,,18,8,5,7,25,0 days 00:00:00.048381,0
airbnb/hypernova,1,v,9,1,4,8,17,0 days 00:00:00.017997,0
pentaho/pentaho-kettle,1,,31,10,16,37,68,0 days 00:00:01.025710,0
phpmyadmin/phpmyadmin,2, RELEASE_,37,9,15,300,337,0 days 00:00:07.090923,0
mahmoud/boltons,1,,24,9,9,21,45,0 days 00:00:00.076780,0
davidjbradshaw/iframe-resizer,2, v,26,16,7,96,122,0 days 00:00:00.102740,0
mamedev/mame,1,mame,124,89,11,0,124,0 days 00:00:04.304888,0
mitchellh/mapstructure,1,v,6,2,3,11,17,0 days 00:00:00.026056,0
vmware-tanzu/octant,1,v,25,16,3,15,40,0 days 00:00:00.321080,0
weibocom/motan,1,,5,1,3,17,22,0 days 00:00:00.039647,0
TypeStrong/typedoc,2, v,22,3,13,127,149,0 days 00:00:00.133279,0
react-native-device-info/react-native-device-info,1,v,57,43,7,114,171,0 days 00:00:00.126635,0
travist/jsencrypt,2, v,7,2,3,3,10,0 days 00:00:00.019934,0
gevent/gevent,2, v,19,4,12,35,54,0 days 00:00:00.316770,0
Financial-Times/polyfill-service,2, v,87,65,5,87,174,0 days 00:00:00.262372,0
Jrohy/multi-v2ray,1,v,18,10,4,79,97,0 days 00:00:00.231886,0
voidcosmos/npkill,1,v,8,5,2,19,27,0 days 00:00:00.034713,0
HMBSbige/ShadowsocksR-Windows,1,,28,12,13,127,155,0 days 00:00:00.152745,0
python-visualization/folium,1,v,11,1,7,10,21,0 days 00:00:00.081146,0
deepmipt/DeepPavlov,1,,17,6,4,28,45,0 days 00:00:00.228628,0
vuejs/vue-class-component,1,v,10,2,5,15,25,0 days 00:00:00.022966,0
plasma-umass/scalene,2, v,3,1,1,22,25,0 days 00:00:00.110662,0
mattn/go-sqlite3,1,v,16,4,7,19,35,0 days 00:00:00.062968,0
taigaio/taiga-back,1,,24,7,9,74,98,0 days 00:00:00.232848,0
redux-observable/redux-observable,2, v,23,13,7,8,31,0 days 00:00:00.040162,0
brython-dev/brython,1,,12,1,9,46,58,0 days 00:00:00.289863,0
jsx-eslint/eslint-plugin-react,1,v,81,55,6,88,169,0 days 00:00:00.241141,0
kelseyhightower/confd,1,v,15,3,8,7,22,0 days 00:00:00.061226,0
vercel/serve,2, v,49,34,7,96,145,0 days 00:00:00.085549,0
carla-simulator/carla,1,,9,4,3,38,47,0 days 00:00:00.238132,0
hoffstadt/DearPyGui,1,v,8,4,1,10,18,0 days 00:00:00.210968,0
UKPLab/sentence-transformers,1,v,10,3,5,20,30,0 days 00:00:00.061293,0
gcanti/fp-ts,1,,38,23,8,115,153,0 days 00:00:00.240607,0
mozilla/nunjucks,3, v. v,14,1,7,37,51,0 days 00:00:00.089528,0
hybridgroup/gobot,3, v. v,29,10,11,16,45,0 days 00:00:00.134529,0
adnanh/webhook,1,,9,5,3,21,30,0 days 00:00:00.039533,0
cortexlabs/cortex,1,v,42,36,1,20,62,0 days 00:00:00.167583,0
metalsmith/metalsmith,2, v,24,15,3,60,84,0 days 00:00:00.041745,0
remix-run/history,1,v,38,24,7,40,78,0 days 00:00:00.069223,0
ffmpegwasm/ffmpeg.wasm,1,v,10,6,2,18,28,0 days 00:00:00.022311,0
sindresorhus/type-fest,1,v,40,29,3,34,74,0 days 00:00:00.036532,0
alibaba/formily,1,v,9,1,4,85,94,0 days 00:00:00.172844,0
BeyondDimension/SteamTools,1,,10,6,3,28,38,0 days 00:00:00.313052,0
beautify-web/js-beautify,1,v,13,3,7,74,87,0 days 00:00:00.162420,0
colinhacks/zod,2, v,20,15,2,23,43,0 days 00:00:00.076762,0
rebassjs/rebass,1,v,11,3,5,42,53,0 days 00:00:00.113862,0
prompt-toolkit/python-prompt-toolkit,1,,5,1,1,51,56,0 days 00:00:00.125830,0
probot/probot,2, v,71,58,3,124,195,0 days 00:00:00.258642,0
tailscale/tailscale,1,v,19,8,2,54,73,0 days 00:00:00.203792,0
mvt-project/mvt,1,v,4,2,1,36,40,0 days 00:00:00.042512,0
yjs/yjs,1,v,19,9,8,151,170,0 days 00:00:00.127742,0
mrdoob/stats.js,1,r,16,6,8,0,16,0 days 00:00:00.014879,0
nodegui/nodegui,1,v,48,42,1,45,93,0 days 00:00:00.089594,0
sindresorhus/ora,1,v,24,9,9,13,37,0 days 00:00:00.026013,0
freebsd/freebsd-src,1,release/,62,3,58,16,78,0 days 00:00:19.794617,0
paramiko/paramiko,3, release- v,23,3,13,152,175,0 days 00:00:00.238799,0
chromedp/chromedp,1,v,8,1,5,33,41,0 days 00:00:00.047705,0
theonedev/onedev,2, v,26,17,2,131,157,0 days 00:00:00.295889,0
signalapp/Signal-Server,1,v,215,206,2,18,233,0 days 00:00:00.201644,0
yiminghe/async-validator,2, v,18,4,11,59,77,0 days 00:00:00.037731,0
go-swagger/go-swagger,2, v,29,8,11,26,55,0 days 00:00:00.147189,0
kubernetes/kompose,1,v,34,22,6,3,37,0 days 00:00:00.077149,0
symfony/http-kernel,1,v,26,4,21,489,515,0 days 00:00:01.089408,0
sindresorhus/ky,1,v,29,15,2,18,47,0 days 00:00:00.032604,0
swagger-api/swagger-editor,3, v/ v,27,11,11,364,391,0 days 00:00:00.451793,0
wix/react-native-calendars,2, v,1248,229,2,59,1307,0 days 00:00:02.020164,0
99designs/gqlgen,2, v,16,7,6,35,51,0 days 00:00:00.152737,0
developit/mitt,2, v,6,1,3,5,11,0 days 00:00:00.018597,0
konvajs/konva,1,,41,18,8,131,172,0 days 00:00:00.203441,0
react-native-image-picker/react-native-image-picker,2, v,37,22,8,86,123,0 days 00:00:00.095182,0
react-grid-layout/react-draggable,1,v,24,9,7,57,81,0 days 00:00:00.051743,0
secdev/scapy,1,v,80,71,8,432,512,0 days 00:00:00.607648,0
chaijs/chai,2, v,30,11,9,48,78,0 days 00:00:00.111838,0
akveo/nebular,1,v,23,9,4,23,46,0 days 00:00:00.128461,0
dropwizard/metrics,1,v,10,1,8,77,87,0 days 00:00:00.303410,0
trustedsec/social-engineer-toolkit,1,,17,4,9,87,104,0 days 00:00:00.946392,0
retejs/rete,2, v,12,4,3,35,47,0 days 00:00:00.034834,0
go-vgo/robotgo,2, v,21,4,9,24,45,0 days 00:00:00.063942,0
NginxProxyManager/nginx-proxy-manager,2, v,10,4,2,48,58,0 days 00:00:00.061743,0
streamlink/streamlink,1,,30,9,7,17,47,0 days 00:00:00.189141,0
isaacs/node-glob,2, v,18,5,10,102,120,0 days 00:00:00.079238,0
HangfireIO/Hangfire,2,v. v,13,4,4,92,105,0 days 00:00:00.170107,0
webdriverio/webdriverio,1,v,91,65,12,415,506,0 days 00:00:00.917265,0
visionmedia/page.js,2, v,10,3,4,29,39,0 days 00:00:00.046517,0
twigphp/Twig,1,v,66,29,23,139,205,0 days 00:00:00.432058,0
xupefei/Locale-Emulator,2, v,13,7,5,14,27,0 days 00:00:00.029582,0
numba/numba,2, v,54,9,8,51,105,0 days 00:00:01.243183,0
prometheus/node_exporter,2, v,17,2,12,11,28,0 days 00:00:00.099749,0
DaveGamble/cJSON,1,v,9,5,1,36,45,0 days 00:00:00.065522,0
guzzle/psr7,1,,12,1,9,17,29,0 days 00:00:00.039450,0
metricsgraphics/metrics-graphics,3,V v. v,25,12,5,10,35,0 days 00:00:00.095559,0
InsertKoinIO/koin,1,,13,5,6,33,46,0 days 00:00:00.104966,0
doctrine/cache,2, v,17,4,9,27,44,0 days 00:00:00.050960,0
ionic-team/capacitor,2, v,18,6,3,138,156,0 days 00:00:00.382234,0
symfony/polyfill-mbstring,1,v,25,2,13,9,34,0 days 00:00:00.019420,0
react-cosmos/react-cosmos,2, v,33,18,8,41,74,0 days 00:00:00.233374,0
FormidableLabs/radium,1,v,17,6,6,46,63,0 days 00:00:00.063478,0
altair-viz/altair,2, v,13,3,7,8,21,0 days 00:00:00.162977,0
gogf/gf,1,v,14,2,4,106,120,0 days 00:00:00.305887,0
openspug/spug,2,V v,8,3,3,34,42,0 days 00:00:00.067778,0
cryptomator/cryptomator,1,,18,7,6,73,91,0 days 00:00:00.226002,0
oclif/oclif,1,v,59,50,5,261,320,0 days 00:00:00.199877,0
webpack/webpack-dev-server,1,v,42,25,9,70,112,0 days 00:00:00.146473,0
kelektiv/node-cron,2, v,12,2,8,23,35,0 days 00:00:00.146075,0
mopidy/mopidy,1,v,29,6,16,38,67,0 days 00:00:00.486837,0
gotify/server,1,v,5,1,3,41,46,0 days 00:00:00.041050,0
Sonarr/Sonarr,1,v,44,27,6,8,52,0 days 00:00:00.486012,0
krallin/tini,1,v,19,6,6,14,33,0 days 00:00:00.024024,0
facebook/litho,1,v,41,25,3,157,198,0 days 00:00:00.913416,0
lanpa/tensorboardX,1,v,15,2,9,1,16,0 days 00:00:00.034943,0
facebook/jscodeshift,2, v,11,1,8,45,56,0 days 00:00:00.048811,0
lib/pq,1,v,11,3,5,10,21,0 days 00:00:00.049084,0
LeetCode-OpenSource/vscode-leetcode,1,v,17,9,4,26,43,0 days 00:00:00.025306,0
Supervisor/supervisor,1,,8,1,6,22,30,0 days 00:00:00.157049,0
sosedoff/pgweb,1,v,11,6,3,31,42,0 days 00:00:00.064595,0
JeffreySu/WeiXinMPSDK,2, v,4,1,2,40,44,0 days 00:00:00.579878,0
sandboxie-plus/Sandboxie,2, v,11,3,4,58,69,0 days 00:00:00.101646,0
PointCloudLibrary/pcl,1,pcl-,13,2,8,12,25,0 days 00:00:02.575695,0
cerebroapp/cerebro,2, v,5,1,3,16,21,0 days 00:00:00.049563,0
symfony/debug,1,v,16,2,13,354,370,0 days 00:00:00.345056,0
TrinityCore/TrinityCore,1,TDB,74,41,22,6,80,0 days 00:00:02.620289,0
i18next/react-i18next,2, v,84,68,6,164,248,0 days 00:00:00.171872,0
winsw/winsw,1,v,21,6,12,10,31,0 days 00:00:00.046546,0
fideloper/TrustedProxy,1,,13,1,11,11,24,0 days 00:00:00.022499,0
davemorrissey/subsampling-scale-image-view,1,v,13,7,5,8,21,0 days 00:00:00.023605,0
hrydgard/ppsspp,1,v,20,3,14,46,66,0 days 00:00:01.526909,0
boto/boto3,1,,24,8,11,1045,1069,0 days 00:00:01.519488,0
apache/cassandra,1,cassandra-,23,8,13,183,206,0 days 00:00:01.634779,0
AlessandroZ/LaZagne,2, v,14,6,5,6,20,0 days 00:00:00.056133,0
FluentValidation/FluentValidation,1,,49,14,24,60,109,0 days 00:00:00.133432,0
be5invis/Sarasa-Gothic,1,v,25,12,8,93,118,0 days 00:00:00.051531,0
hashicorp/terraform-provider-aws,1,v,226,223,1,33,259,0 days 00:00:03.085016,0
AppImage/AppImageKit,1,,13,4,8,0,13,0 days 00:00:00.242133,0
rocksdanister/lively,1,v,18,15,2,29,47,0 days 00:00:00.034524,0
xo/usql,1,v,10,4,5,22,32,0 days 00:00:00.040785,0
terkelg/prompts,1,v,9,2,4,24,33,0 days 00:00:00.024783,0
sebastianbergmann/php-timer,1,,7,1,3,19,26,0 days 00:00:00.028180,0
evilsocket/opensnitch,1,v,4,1,2,7,11,0 days 00:00:00.069740,0
pennersr/django-allauth,1,,42,13,18,13,55,0 days 00:00:00.135120,0
MichalLytek/type-graphql,1,v,19,13,1,18,37,0 days 00:00:00.050573,0
cjbassi/gotop,1,,9,5,1,24,33,0 days 00:00:00.029310,0
smartystreets/goconvey,2, v,7,3,3,20,27,0 days 00:00:00.059895,0
styled-components/polished,2,v. v,22,12,6,56,78,0 days 00:00:00.060993,0
ngrx/platform,2, v,35,19,5,25,60,0 days 00:00:00.094590,0
pytube/pytube,2, v,31,18,9,78,109,0 days 00:00:00.096210,0
fancyapps/fancybox,3, V v,5,1,3,30,35,0 days 00:00:00.032011,0
sveltejs/sapper,1,v,29,23,4,149,178,0 days 00:00:00.131010,0
inorganik/countUp.js,2, v,13,3,8,26,39,0 days 00:00:00.041461,0
graphql-python/graphene,2,v. v,16,7,5,29,45,0 days 00:00:00.091714,0
chrisvfritz/prerender-spa-plugin,2, v,10,4,3,1,11,0 days 00:00:00.015344,0
barteksc/AndroidPdfViewer,1,,14,8,2,8,22,0 days 00:00:00.015883,0
angular/angularfire,2, v,11,2,5,28,39,0 days 00:00:00.062899,0
nopSolutions/nopCommerce,1,release-,29,20,8,6,35,0 days 00:00:00.752271,0
jpillora/chisel,2, v,8,2,4,21,29,0 days 00:00:00.022694,0
OWASP/Amass,2, v,37,25,6,123,160,0 days 00:00:00.282957,0
symfony/routing,1,v,26,4,21,441,467,0 days 00:00:00.388339,0
java-native-access/jna,2, v,26,3,18,32,58,0 days 00:00:00.202048,0
lz4/lz4,2,r v,18,11,2,11,29,0 days 00:00:00.444044,0
leeoniya/uPlot,1,,7,3,1,44,51,0 days 00:00:00.072445,0
marionettejs/backbone.marionette,1,v,32,15,10,93,125,0 days 00:00:00.235205,0
es-shims/es5-shim,1,v,19,8,7,77,96,0 days 00:00:00.180713,0
kekingcn/kkFileView,2, v,5,1,2,5,10,0 days 00:00:00.026854,0
Zettlr/Zettlr,3, v. v,28,14,6,49,77,0 days 00:00:00.350176,0
sebastianbergmann/diff,1,,7,1,5,11,18,0 days 00:00:00.021915,0
pillarjs/path-to-regexp,2, v,24,9,11,28,52,0 days 00:00:00.027970,0
AmruthPillai/Reactive-Resume,1,v,7,4,2,24,31,0 days 00:00:00.169102,0
surmon-china/vue-quill-editor,1,v,6,2,2,21,27,0 days 00:00:00.018548,0
metafizzy/flickity,1,v,10,3,6,24,34,0 days 00:00:00.035826,0
vercel/styled-jsx,2, v,15,5,8,78,93,0 days 00:00:00.047143,0
yhirose/cpp-httplib,1,v,9,3,5,75,84,0 days 00:00:00.234519,0
ljharb/qs,1,v,25,11,10,49,74,0 days 00:00:00.061462,0
laravel/tinker,1,v,9,3,4,17,26,0 days 00:00:00.023780,0
readthedocs/readthedocs.org,1,,76,55,5,152,228,0 days 00:00:01.276268,0
google/android-classyshark,1,,15,9,3,0,15,0 days 00:00:00.139393,0
jazzband/django-debug-toolbar,2, v,25,4,15,24,49,0 days 00:00:00.240103,0
gitkraken/vscode-gitlens,2, v,45,33,4,91,136,0 days 00:00:00.199877,0
jemalloc/jemalloc,1,,22,4,14,24,46,0 days 00:00:00.146302,0
musescore/MuseScore,1,v,11,1,9,24,35,0 days 00:00:01.957638,0
symfony/css-selector,1,v,26,4,20,434,460,0 days 00:00:00.546115,0
symfony/process,1,v,26,4,21,450,476,0 days 00:00:00.461876,0
sebastianbergmann/php-file-iterator,1,,7,1,5,27,34,0 days 00:00:00.026760,0
raineorshine/npm-check-updates,2, v,56,34,11,194,250,0 days 00:00:00.220006,0
encode/starlette,1,,19,8,5,94,113,0 days 00:00:00.086572,0
cython/cython,1,,19,2,10,71,90,0 days 00:00:00.874199,0
mqttjs/MQTT.js,2, v,42,22,7,109,151,0 days 00:00:00.117513,0
ThreeMammals/Ocelot,1,,31,19,6,110,141,0 days 00:00:00.110009,0
wallabag/wallabag,1,,20,6,10,40,60,0 days 00:00:00.402196,0
developit/microbundle,2, v,15,7,6,24,39,0 days 00:00:00.159763,0
deepstreamIO/deepstream.io,2, v,25,7,8,98,123,0 days 00:00:00.124686,0
Turfjs/turf,2, v,23,15,5,65,88,0 days 00:00:00.201760,0
xmrig/xmrig,1,v,46,34,7,73,119,0 days 00:00:00.198791,0
DevinVinson/WordPress-Plugin-Boilerplate,1,,9,5,2,5,14,0 days 00:00:00.032744,0
monero-project/monero,1,v,19,7,7,34,53,0 days 00:00:00.794865,0
FullHuman/purgecss,2, v,23,11,7,20,43,0 days 00:00:00.167639,0
aws/aws-sdk-js,1,v,1089,1078,5,301,1390,0 days 00:00:02.105083,0
final-form/react-final-form,2,v. v,23,16,3,47,70,0 days 00:00:00.047497,0
reach/router,1,v,5,2,2,13,18,0 days 00:00:00.023434,0
jsplumb/jsplumb,1,,28,5,18,188,216,0 days 00:00:00.559307,0
projectstorm/react-diagrams,2, v,16,6,6,23,39,0 days 00:00:00.055550,0
matthew-andrews/isomorphic-fetch,1,v,12,7,3,14,26,0 days 00:00:00.015751,0
symfony/var-dumper,1,v,20,4,15,355,375,0 days 00:00:00.353825,0
reactjs/react-modal,1,v,19,7,6,91,110,0 days 00:00:00.060563,0
ffuf/ffuf,1,v,18,8,5,6,24,0 days 00:00:00.026963,0
rr-debugger/rr,1,,28,9,14,6,34,0 days 00:00:00.263266,0
reactiveui/ReactiveUI,2, v,41,24,6,181,222,0 days 00:00:00.737884,0
abel533/Mapper,1,,18,8,5,33,51,0 days 00:00:00.150507,0
trentm/node-bunyan,1,,33,18,7,81,114,0 days 00:00:00.069759,0
cosmtrek/air,1,v,5,1,2,18,23,0 days 00:00:00.021189,0
kennethreitz/records,1,v,5,3,1,6,11,0 days 00:00:00.020755,0
verlok/vanilla-lazyload,2, v,81,56,15,77,158,0 days 00:00:00.229434,0
cockpit-project/cockpit,2, v,314,303,8,1,315,0 days 00:00:01.258162,0
transmission/transmission,1,,99,69,12,1,100,0 days 00:00:00.800117,0
taskflow/taskflow,1,v,13,3,8,1,14,0 days 00:00:00.086688,0
Humanizr/Humanizer,3, V v,16,8,5,49,65,0 days 00:00:00.127145,0
brunch/brunch,1,,24,11,8,107,131,0 days 00:00:00.284415,0
bigskysoftware/htmx,2, v,12,6,1,18,30,0 days 00:00:00.096737,0
olivere/elastic,1,v,8,1,6,317,325,0 days 00:00:00.258017,0
monkeytypegame/monkeytype,1,v,16,6,1,111,127,0 days 00:00:00.479409,0
guess-js/guess,2, v,4,1,2,42,46,0 days 00:00:00.044778,0
microsoft/DeepSpeed,1,v,6,1,3,36,42,0 days 00:00:00.074704,0
Sylius/Sylius,1,v,30,4,16,151,181,0 days 00:00:01.646600,0
microsoft/azuredatastudio,2, v,40,28,2,89,129,0 days 00:00:00.707280,0
Nuitka/Nuitka,1,,13,8,4,238,251,0 days 00:00:00.679359,0
barry-ran/QtScrcpy,1,v,9,3,3,15,24,0 days 00:00:00.159827,0
juice-shop/juice-shop,2, v,91,67,8,101,192,0 days 00:00:01.137940,0
gobuffalo/buffalo,2, v,15,3,9,107,122,0 days 00:00:00.205733,0
ajenti/ajenti,2, v,5,2,2,123,128,0 days 00:00:00.172851,0
filamentgroup/loadCSS,2, v,9,2,6,14,23,0 days 00:00:00.024919,0
DylanVann/react-native-fast-image,1,v,20,8,7,90,110,0 days 00:00:00.060961,0
ds300/patch-package,1,v,17,9,3,40,57,0 days 00:00:00.038850,0
vercel/ncc,1,,31,21,4,46,77,0 days 00:00:00.046742,0
ssssssss-team/spider-flow,1,v,5,3,1,6,11,0 days 00:00:00.029644,0
cssinjs/jss,2, v,60,41,8,86,146,0 days 00:00:00.133588,0
needim/noty,1,v,10,2,5,37,47,0 days 00:00:00.036540,0
twpayne/chezmoi,1,v,27,16,4,106,133,0 days 00:00:00.211273,0
mongodb/mongo-go-driver,2, v,13,4,7,60,73,0 days 00:00:00.128245,0
tgalal/yowsup,1,v,8,3,4,20,28,0 days 00:00:00.085912,0
jupyterhub/jupyterhub,1,,19,2,11,20,39,0 days 00:00:00.282253,0
alibaba/MNN,1,,13,9,3,36,49,0 days 00:00:00.079634,0
SigNoz/signoz,2, v,7,1,2,28,35,0 days 00:00:00.071057,0
NLPchina/elasticsearch-sql,1,,46,21,13,144,190,0 days 00:00:00.115635,0
kazupon/vue-i18n,1,v,64,37,7,83,147,0 days 00:00:00.135740,0
infracost/infracost,2, v,10,6,3,62,72,0 days 00:00:00.115855,0
lucas-clemente/quic-go,2,v. v,24,5,10,33,57,0 days 00:00:00.497751,0
SirVer/ultisnips,1,,11,2,7,0,11,0 days 00:00:00.070721,0
Vincit/objection.js,1,,19,3,10,101,120,0 days 00:00:00.135340,0
ActivityWatch/activitywatch,1,v,8,4,3,11,19,0 days 00:00:00.051268,0
open-policy-agent/opa,1,v,40,22,6,80,120,0 days 00:00:00.395211,0
eclipse/che,1,,100,95,2,126,226,0 days 00:00:00.763289,0
kanboard/kanboard,1,v,3,1,1,71,74,0 days 00:00:00.248823,0
Laravel-Lang/lang,1,,20,12,6,174,194,0 days 00:00:00.374724,0
lcobucci/jwt,1,,11,3,6,34,45,0 days 00:00:00.077730,0
aheckmann/gm,2, v,31,13,12,35,66,0 days 00:00:00.179921,0
sindresorhus/fkill-cli,2, v,23,9,10,3,26,0 days 00:00:00.017741,0
ElemeFE/v-charts,1,v,14,9,2,72,86,0 days 00:00:00.048967,0
BoyceLig/Clash_Chinese_Patch,1,,7,1,3,57,64,0 days 00:00:00.033382,0
sindresorhus/np,1,v,42,24,10,34,76,0 days 00:00:00.051842,0
schollz/howmanypeoplearearound,1,v,4,2,1,11,15,0 days 00:00:00.016175,0
hugapi/hug,1,,18,11,5,44,62,0 days 00:00:00.130432,0
grpc/grpc-web,1,,7,4,2,9,16,0 days 00:00:00.050946,0
Rob--W/cors-anywhere,2, v,3,1,1,18,21,0 days 00:00:00.016978,0
xojs/xo,1,v,43,24,8,43,86,0 days 00:00:00.050929,0
gregberge/loadable-components,1,v,30,19,6,35,65,0 days 00:00:00.047420,0
visgl/react-map-gl,2, v,22,10,9,143,165,0 days 00:00:00.130319,0
Hacker0x01/react-datepicker,2, v,107,85,2,73,180,0 days 00:00:00.215207,0
electron/fiddle,2, v,29,14,3,22,51,0 days 00:00:00.101340,0
flyway/flyway,1,flyway-,40,20,13,101,141,0 days 00:00:00.202624,0
enquirer/enquirer,1,,6,2,3,27,33,0 days 00:00:00.035660,0
QUANTAXIS/QUANTAXIS,2, V,15,4,5,44,59,0 days 00:00:00.451549,0
wailsapp/wails,1,v,19,10,2,44,63,0 days 00:00:00.144804,0
migueldeicaza/gui.cs,1,v,13,6,4,9,22,0 days 00:00:00.281808,0
jaredpalmer/tsdx,1,v,13,6,3,40,53,0 days 00:00:00.051277,0
grpc/grpc-java,1,v,52,22,4,58,110,0 days 00:00:00.355446,0
iterative/dvc,1,,92,83,3,258,350,0 days 00:00:00.665688,0
catboost/catboost,3, v. v,25,7,3,57,82,0 days 00:00:01.289047,0
wasabeef/glide-transformations,1,,9,3,5,10,19,0 days 00:00:00.021489,0
stylelint/stylelint,2, v,97,78,4,88,185,0 days 00:00:00.468008,0
libretro/RetroArch,2, v,15,3,7,77,92,0 days 00:00:03.083636,0
josdejong/jsoneditor,1,v,71,48,11,125,196,0 days 00:00:00.154185,0
botpress/botpress,2, v,88,76,4,234,322,0 days 00:00:00.998853,0
svgdotjs/svg.js,1,,50,38,8,48,98,0 days 00:00:00.104812,0
FormidableLabs/victory,1,v,65,43,8,156,221,0 days 00:00:00.449456,0
react-native-camera/react-native-camera,1,v,84,69,5,96,180,0 days 00:00:00.295064,0
lvgl/lvgl,2, v,26,10,7,20,46,0 days 00:00:00.520345,0
snapappointments/bootstrap-select,2, v,13,3,7,52,65,0 days 00:00:00.110512,0
TranslucentTB/TranslucentTB,1,,14,7,6,0,14,0 days 00:00:00.084767,0
mdbootstrap/material-design-for-bootstrap,1,,18,11,5,46,64,0 days 00:00:00.037432,0
addyosmani/critical,2, v,17,4,9,44,61,0 days 00:00:00.290257,0
pockethub/PocketHub,2, v,11,5,3,9,20,0 days 00:00:00.169972,0
sindresorhus/pageres,2, v,24,8,7,23,47,0 days 00:00:00.031535,0
senchalabs/connect,1,,52,27,11,174,226,0 days 00:00:00.245844,0
meliorence/react-native-snap-carousel,2,V v,22,15,2,29,51,0 days 00:00:00.038223,0
mongodb/node-mongodb-native,3,V v. v,25,4,18,387,412,0 days 00:00:00.821006,0
TarsCloud/Tars,2, v,15,7,4,32,47,0 days 00:00:00.061890,0
BookStackApp/BookStack,3, v. v,36,10,9,113,149,0 days 00:00:00.425832,0
jhen0409/react-native-debugger,1,v,12,3,7,74,86,0 days 00:00:00.058234,0
argoproj/argo-cd,1,v,25,9,4,115,140,0 days 00:00:00.423920,0
mswjs/msw,2, v,38,31,1,90,128,0 days 00:00:00.100712,0
apidoc/apidoc,1,,27,7,10,19,46,0 days 00:00:00.057807,0
Automattic/kue,2, v,10,2,7,47,57,0 days 00:00:00.068093,0
charmbracelet/glow,1,v,7,4,1,10,17,0 days 00:00:00.040035,0
squizlabs/PHP_CodeSniffer,1,,19,5,12,51,70,0 days 00:00:00.501964,0
bulletphysics/bullet3,1,,18,5,9,6,24,0 days 00:00:00.404110,0
pinojs/pino,2, v,90,69,7,150,240,0 days 00:00:00.207607,0
vnotex/vnote,2, v,47,34,4,13,60,0 days 00:00:00.094378,0
deepmind/sonnet,1,v,35,24,1,0,35,0 days 00:00:00.055521,0
upx/upx,1,v,31,7,18,0,31,0 days 00:00:00.247017,0
Atmosphere-NX/Atmosphere,1,,18,7,6,48,66,0 days 00:00:00.193779,0
future-architect/vuls,1,v,19,4,6,64,83,0 days 00:00:00.086279,0
dingo/api,2, v,16,9,5,41,57,0 days 00:00:00.083311,0
r-spacex/SpaceX-API,2, v,15,9,3,8,23,0 days 00:00:00.202712,0
FormidableLabs/spectacle,2, v,35,12,11,77,112,0 days 00:00:00.092607,0
uncss/uncss,1,,9,2,5,9,18,0 days 00:00:00.036419,0
exceljs/exceljs,2, v,41,28,7,180,221,0 days 00:00:00.171767,0
reactjs/react-transition-group,1,v,19,9,7,19,38,0 days 00:00:00.032163,0
deployphp/deployer,1,v,20,6,9,47,67,0 days 00:00:00.114697,0
oblador/react-native-animatable,1,v,10,4,4,13,23,0 days 00:00:00.020294,0
coredns/coredns,1,v,20,7,7,42,62,0 days 00:00:00.195517,0
acaudwell/Gource,1,gource-,20,5,11,0,20,0 days 00:00:00.045886,0
cheat/cheat,1,,18,10,4,67,85,0 days 00:00:00.085220,0
