project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
mikaelbr/node-notifier,1,v,24,4,13,45,69,0 days 00:00:00.051286,0
weaveworks/scope,2, v,31,17,5,30,61,0 days 00:00:00.285765,0
bfenetworks/bfe,1,v,18,10,3,0,18,0 days 00:00:00.207688,0
missive/emoji-mart,1,v,20,8,7,40,60,0 days 00:00:00.050969,0
angular-ui/ui-grid,1,v,24,10,11,86,110,0 days 00:00:00.244965,0
jrnl-org/jrnl,2, v,13,2,5,24,37,0 days 00:00:00.190647,0
jbaysolutions/vue-grid-layout,1,,5,1,1,29,34,0 days 00:00:00.029042,0
serilog/serilog,1,v,19,3,7,13,32,0 days 00:00:00.095756,0
evernote/android-job,1,v,4,1,2,36,40,0 days 00:00:00.037714,0
valor-software/ngx-bootstrap,2, v,31,15,9,81,112,0 days 00:00:00.162675,0
jaywcjlove/hotkeys,1,v,12,4,7,62,74,0 days 00:00:00.045930,0
jonls/redshift,2, v,17,6,7,2,19,0 days 00:00:00.040461,0
algolia/places,1,v,34,26,4,69,103,0 days 00:00:00.080369,0
NVIDIA/TensorRT,2, v,27,17,2,6,33,0 days 00:00:00.031269,0
gcanti/io-ts,1,,20,10,3,84,104,0 days 00:00:00.057573,0
mwouts/jupytext,3, v. v,20,10,7,75,95,0 days 00:00:00.139265,0
log4js-node/log4js-node,1,v,32,19,9,90,122,0 days 00:00:00.157836,0
anishathalye/dotbot,1,v,20,6,11,28,48,0 days 00:00:00.030603,0
nathancahill/split,2, v,10,5,3,38,48,0 days 00:00:00.030480,0
alan-turing-institute/sktime,1,v,10,1,4,14,24,0 days 00:00:00.254341,0
jonschlinkert/remarkable,2, v,9,6,2,13,22,0 days 00:00:00.034850,0
ppoffice/hexo-theme-icarus,2, v,22,9,9,9,31,0 days 00:00:00.038003,0
ly525/luban-h5,1,v,18,12,3,14,32,0 days 00:00:00.046646,0
fatih/color,1,v,16,4,10,1,17,0 days 00:00:00.018554,0
chyroc/WechatSogou,1,v,8,1,3,15,23,0 days 00:00:00.023051,0
containers/buildah,3, V v,42,22,3,70,112,0 days 00:00:00.289362,0
kaorun343/vue-property-decorator,1,v,24,8,5,16,40,0 days 00:00:00.027393,0
agentejo/cockpit,1,,8,1,5,27,35,0 days 00:00:00.257154,0
arachnys/cabot,1,,6,4,1,33,39,0 days 00:00:00.048381,0
mixn/carbon-now-cli,2, v,5,2,1,7,12,0 days 00:00:00.019865,0
go-acme/lego,1,v,34,15,7,17,51,0 days 00:00:00.074709,0
go-flutter-desktop/go-flutter,1,v,39,33,3,15,54,0 days 00:00:00.041615,0
gorakhargosh/watchdog,1,v,12,2,6,35,47,0 days 00:00:00.080283,0
open-cli-tools/concurrently,2, v,27,7,14,18,45,0 days 00:00:00.036098,0
Snapchat/KeyDB,1,v,6,1,2,16,22,0 days 00:00:01.557000,0
bytedance/xgplayer,1,v,4,1,2,44,48,0 days 00:00:00.062761,0
ExactTarget/fuelux,1,,25,10,6,59,84,0 days 00:00:00.206984,0
oauth2-proxy/oauth2-proxy,1,v,18,1,10,9,27,0 days 00:00:00.102070,0
barryvdh/laravel-dompdf,1,v,10,1,8,24,34,0 days 00:00:00.021170,0
devicons/devicon,1,v,17,6,5,4,21,0 days 00:00:00.058071,0
PyGithub/PyGithub,2, v,62,40,9,23,85,0 days 00:00:00.121021,0
rectorphp/rector,2, v,13,1,9,351,364,0 days 00:00:01.066751,0
django/channels,1,,20,9,8,44,64,0 days 00:00:00.087292,0
i-tu/Hasklig,2, v,12,5,4,0,12,0 days 00:00:00.060854,0
encode/uvicorn,1,,17,4,4,119,136,0 days 00:00:00.216100,0
leongersen/noUiSlider,1,,45,19,16,58,103,0 days 00:00:00.073050,0
tjanczuk/edge,1,v,11,5,5,23,34,0 days 00:00:00.177594,0
domlysz/BlenderGIS,2, v,3,1,1,0,3,0 days 00:00:00.030280,0
alibaba/transmittable-thread-local,2, v,18,6,8,31,49,0 days 00:00:00.056227,0
phan/phan,1,,33,13,10,127,160,0 days 00:00:00.480112,0
tzapu/WiFiManager,2, v,16,10,3,0,16,0 days 00:00:00.024887,0
arturbien/React95,1,v,13,7,3,6,19,0 days 00:00:00.149114,0
crossplane/crossplane,1,v,23,11,3,34,57,0 days 00:00:00.379042,0
graphql-dotnet/graphql-dotnet,2, v,42,24,7,45,87,0 days 00:00:00.131683,0
mher/flower,1,v,9,1,6,15,24,0 days 00:00:00.078429,0
crowdsecurity/crowdsec,1,v,7,1,3,39,46,0 days 00:00:00.062998,0
h6ah4i/android-advancedrecyclerview,1,,8,1,6,22,30,0 days 00:00:00.043514,0
substack/minimist,1,,6,2,2,20,26,0 days 00:00:00.016267,0
wasabeef/Blurry,1,,6,1,4,7,13,0 days 00:00:00.015123,0
release-it/release-it,1,,84,66,12,176,260,0 days 00:00:00.214599,0
nodegit/nodegit,1,v,27,9,10,67,94,0 days 00:00:00.192799,0
naver/billboard.js,1,,21,1,13,54,75,0 days 00:00:00.180495,0
kartik-v/bootstrap-fileinput,1,v,26,18,7,61,87,0 days 00:00:00.078387,0
