project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
ai/size-limit,1,,45,9,2,101,146,0 days 00:00:00.112512
reactchartjs/react-chartjs-2,3, v. v,24,2,2,51,75,0 days 00:00:00.045268
msiemens/tinydb,2, v,34,5,11,26,60,0 days 00:00:00.051078
arkime/arkime,1,v,32,2,16,70,102,0 days 00:00:00.243655
expressjs/body-parser,1,,21,2,8,47,68,0 days 00:00:00.066213
jvm-profiling-tools/async-profiler,1,v,14,2,9,9,23,0 days 00:00:00.051262
openpgpjs/openpgpjs,1,v,40,10,9,109,149,0 days 00:00:00.189196
jarun/buku,2, v,36,15,6,3,39,0 days 00:00:00.126141
journeyapps/zxing-android-embedded,1,v,15,2,10,7,22,0 days 00:00:00.094441
onionshare/onionshare,2, v,18,5,11,9,27,0 days 00:00:00.399474
minbrowser/min,2, v,26,4,8,31,57,0 days 00:00:00.121832
nhn/tui.chart,2, v,38,17,5,60,98,0 days 00:00:00.166102
uber/prototool,1,v,18,9,2,2,20,0 days 00:00:00.047695
laravel-mix/laravel-mix,1,v,27,16,2,105,132,0 days 00:00:00.148009
Mailtrain-org/mailtrain,1,v,25,9,2,10,35,0 days 00:00:00.118587
istanbuljs/nyc,1,v,58,15,2,56,114,0 days 00:00:00.088298
zhaojun1998/zfile,1,,32,8,3,11,43,0 days 00:00:00.074585
wiremock/wiremock,2, release-,55,17,15,28,83,0 days 00:00:00.156509
kedacore/keda,1,v,14,3,4,3,17,0 days 00:00:00.189082
timber/timber,2, v,32,10,14,96,128,0 days 00:00:00.357991
material-shell/material-shell,2, v,11,5,2,0,11,0 days 00:00:00.158411
uNetworking/uWebSockets.js,1,v,59,32,3,6,65,0 days 00:00:00.188417
rauchg/slackin,1,,14,2,2,26,40,0 days 00:00:00.050333
panjf2000/gnet,1,v,8,2,4,35,43,0 days 00:00:00.086009
pedroslopez/whatsapp-web.js,1,v,18,5,2,39,57,0 days 00:00:00.045932
johannesjo/super-productivity,1,v,58,45,3,296,354,0 days 00:00:00.729245
reactjs/react-rails,2, v,24,7,7,31,55,0 days 00:00:00.087364
fengyuanchen/viewerjs,1,v,21,4,5,28,49,0 days 00:00:00.044070
Angel-ML/angel,2,Release- v,14,2,6,4,18,0 days 00:00:00.173313
LonamiWebs/Telethon,1,v,44,21,4,91,135,0 days 00:00:00.157966
docker/machine,2, v,16,2,8,16,32,0 days 00:00:00.233952
roadrunner-server/roadrunner,2, v,22,6,7,81,103,0 days 00:00:00.236466
ponylang/ponyc,2, release-,51,31,9,56,107,0 days 00:00:00.512592
sghall/react-move,1,v,28,8,4,21,49,0 days 00:00:00.040665
